,site,th,species,FN,FP,below_th,total
1,NA,NA,NA,NA,NA,NA,NA
2,Batzbach,0,Bbar,0,7,0,7
3,Batzbach,0,Eser,0,7,0,7
4,Batzbach,0,Mbec,133,246,0,12161
5,Batzbach,0,Mdas,0,56,0,56
6,Batzbach,0,Mdau,63,99,0,2817
7,Batzbach,0,Mema,0,13,0,13
8,Batzbach,0,Mmyo,33,64,0,1735
9,Batzbach,0,Mbra,67,25,0,1403
10,Batzbach,0,Mnat,350,75,0,19494
11,Batzbach,0,Nnoc,0,2,0,2
12,Batzbach,0,Ppip,0,2,0,2
13,Batzbach,0,Paur,12,42,0,2228
14,Batzbach,0,Rhin,0,7,0,7
15,Batzbach,1,Bbar,0,7,0,7
16,Batzbach,1,Eser,0,7,0,7
17,Batzbach,1,Mbec,133,246,0,12161
18,Batzbach,1,Mdas,0,56,0,56
19,Batzbach,1,Mdau,63,99,0,2817
20,Batzbach,1,Mema,0,13,0,13
21,Batzbach,1,Mmyo,33,64,0,1735
22,Batzbach,1,Mbra,67,25,0,1403
23,Batzbach,1,Mnat,350,75,0,19494
24,Batzbach,1,Nnoc,0,2,0,2
25,Batzbach,1,Ppip,0,2,0,2
26,Batzbach,1,Paur,12,42,0,2228
27,Batzbach,1,Rhin,0,7,0,7
28,Batzbach,2,Bbar,0,7,0,7
29,Batzbach,2,Eser,0,7,0,7
30,Batzbach,2,Mbec,133,246,0,12161
31,Batzbach,2,Mdas,0,56,0,56
32,Batzbach,2,Mdau,63,99,0,2817
33,Batzbach,2,Mema,0,13,0,13
34,Batzbach,2,Mmyo,33,64,0,1735
35,Batzbach,2,Mbra,67,25,0,1403
36,Batzbach,2,Mnat,350,75,0,19494
37,Batzbach,2,Nnoc,0,2,0,2
38,Batzbach,2,Ppip,0,2,0,2
39,Batzbach,2,Paur,12,42,0,2228
40,Batzbach,2,Rhin,0,7,0,7
41,Batzbach,3,Bbar,0,7,0,7
42,Batzbach,3,Eser,0,7,0,7
43,Batzbach,3,Mbec,133,246,0,12161
44,Batzbach,3,Mdas,0,56,0,56
45,Batzbach,3,Mdau,63,99,0,2817
46,Batzbach,3,Mema,0,13,0,13
47,Batzbach,3,Mmyo,33,64,0,1735
48,Batzbach,3,Mbra,67,25,0,1403
49,Batzbach,3,Mnat,350,75,0,19494
50,Batzbach,3,Nnoc,0,2,0,2
51,Batzbach,3,Ppip,0,2,0,2
52,Batzbach,3,Paur,12,42,0,2228
53,Batzbach,3,Rhin,0,7,0,7
54,Batzbach,4,Bbar,0,7,0,7
55,Batzbach,4,Eser,0,7,0,7
56,Batzbach,4,Mbec,133,246,0,12161
57,Batzbach,4,Mdas,0,56,0,56
58,Batzbach,4,Mdau,63,99,0,2817
59,Batzbach,4,Mema,0,13,0,13
60,Batzbach,4,Mmyo,33,64,0,1735
61,Batzbach,4,Mbra,67,25,0,1403
62,Batzbach,4,Mnat,350,75,0,19494
63,Batzbach,4,Nnoc,0,2,0,2
64,Batzbach,4,Ppip,0,2,0,2
65,Batzbach,4,Paur,12,42,0,2228
66,Batzbach,4,Rhin,0,7,0,7
67,Batzbach,5,Bbar,0,7,0,7
68,Batzbach,5,Eser,0,7,0,7
69,Batzbach,5,Mbec,133,246,0,12161
70,Batzbach,5,Mdas,0,56,0,56
71,Batzbach,5,Mdau,63,99,0,2817
72,Batzbach,5,Mema,0,13,0,13
73,Batzbach,5,Mmyo,33,64,0,1735
74,Batzbach,5,Mbra,67,25,0,1403
75,Batzbach,5,Mnat,350,75,0,19494
76,Batzbach,5,Nnoc,0,2,0,2
77,Batzbach,5,Ppip,0,2,0,2
78,Batzbach,5,Paur,12,42,0,2228
79,Batzbach,5,Rhin,0,7,0,7
80,Batzbach,6,Bbar,0,7,0,7
81,Batzbach,6,Eser,0,7,0,7
82,Batzbach,6,Mbec,133,246,0,12161
83,Batzbach,6,Mdas,0,56,0,56
84,Batzbach,6,Mdau,63,99,0,2817
85,Batzbach,6,Mema,0,13,0,13
86,Batzbach,6,Mmyo,33,64,0,1735
87,Batzbach,6,Mbra,67,25,0,1403
88,Batzbach,6,Mnat,350,75,0,19494
89,Batzbach,6,Nnoc,0,2,0,2
90,Batzbach,6,Ppip,0,2,0,2
91,Batzbach,6,Paur,12,42,0,2228
92,Batzbach,6,Rhin,0,7,0,7
93,Batzbach,7,Bbar,0,7,0,7
94,Batzbach,7,Eser,0,7,0,7
95,Batzbach,7,Mbec,133,246,0,12161
96,Batzbach,7,Mdas,0,56,0,56
97,Batzbach,7,Mdau,63,99,0,2817
98,Batzbach,7,Mema,0,13,0,13
99,Batzbach,7,Mmyo,33,64,0,1735
100,Batzbach,7,Mbra,67,25,0,1403
101,Batzbach,7,Mnat,350,75,0,19494
102,Batzbach,7,Nnoc,0,2,0,2
103,Batzbach,7,Ppip,0,2,0,2
104,Batzbach,7,Paur,12,42,0,2228
105,Batzbach,7,Rhin,0,7,0,7
106,Batzbach,8,Bbar,0,7,0,7
107,Batzbach,8,Eser,0,7,0,7
108,Batzbach,8,Mbec,133,246,0,12161
109,Batzbach,8,Mdas,0,56,0,56
110,Batzbach,8,Mdau,63,99,0,2817
111,Batzbach,8,Mema,0,13,0,13
112,Batzbach,8,Mmyo,33,64,0,1735
113,Batzbach,8,Mbra,67,25,0,1403
114,Batzbach,8,Mnat,350,75,0,19494
115,Batzbach,8,Nnoc,0,2,0,2
116,Batzbach,8,Ppip,0,2,0,2
117,Batzbach,8,Paur,12,42,0,2228
118,Batzbach,8,Rhin,0,7,0,7
119,Batzbach,9,Bbar,0,7,0,7
120,Batzbach,9,Eser,0,7,0,7
121,Batzbach,9,Mbec,133,246,0,12161
122,Batzbach,9,Mdas,0,56,0,56
123,Batzbach,9,Mdau,63,99,0,2817
124,Batzbach,9,Mema,0,13,0,13
125,Batzbach,9,Mmyo,33,64,0,1735
126,Batzbach,9,Mbra,67,25,0,1403
127,Batzbach,9,Mnat,350,75,0,19494
128,Batzbach,9,Nnoc,0,2,0,2
129,Batzbach,9,Ppip,0,2,0,2
130,Batzbach,9,Paur,12,42,0,2228
131,Batzbach,9,Rhin,0,7,0,7
132,Batzbach,10,Bbar,0,7,0,7
133,Batzbach,10,Eser,0,7,0,7
134,Batzbach,10,Mbec,133,246,0,12161
135,Batzbach,10,Mdas,0,56,0,56
136,Batzbach,10,Mdau,63,99,0,2817
137,Batzbach,10,Mema,0,13,0,13
138,Batzbach,10,Mmyo,33,64,0,1735
139,Batzbach,10,Mbra,67,25,0,1403
140,Batzbach,10,Mnat,350,75,0,19494
141,Batzbach,10,Nnoc,0,2,0,2
142,Batzbach,10,Ppip,0,2,0,2
143,Batzbach,10,Paur,12,42,0,2228
144,Batzbach,10,Rhin,0,7,0,7
145,Batzbach,11,Bbar,0,7,0,7
146,Batzbach,11,Eser,0,7,0,7
147,Batzbach,11,Mbec,133,246,0,12161
148,Batzbach,11,Mdas,0,56,0,56
149,Batzbach,11,Mdau,63,99,0,2817
150,Batzbach,11,Mema,0,13,0,13
151,Batzbach,11,Mmyo,33,64,0,1735
152,Batzbach,11,Mbra,67,25,0,1403
153,Batzbach,11,Mnat,350,75,0,19494
154,Batzbach,11,Nnoc,0,2,0,2
155,Batzbach,11,Ppip,0,2,0,2
156,Batzbach,11,Paur,12,42,0,2228
157,Batzbach,11,Rhin,0,7,0,7
158,Batzbach,12,Bbar,0,7,0,7
159,Batzbach,12,Eser,0,7,0,7
160,Batzbach,12,Mbec,132,246,0,12161
161,Batzbach,12,Mdas,0,56,0,56
162,Batzbach,12,Mdau,63,99,0,2817
163,Batzbach,12,Mema,0,13,0,13
164,Batzbach,12,Mmyo,33,64,0,1735
165,Batzbach,12,Mbra,67,24,0,1403
166,Batzbach,12,Mnat,350,75,0,19494
167,Batzbach,12,Nnoc,0,2,0,2
168,Batzbach,12,Ppip,0,2,0,2
169,Batzbach,12,Paur,12,42,0,2228
170,Batzbach,12,Rhin,0,7,0,7
171,Batzbach,13,Bbar,0,7,0,7
172,Batzbach,13,Eser,0,7,0,7
173,Batzbach,13,Mbec,132,246,0,12161
174,Batzbach,13,Mdas,0,56,0,56
175,Batzbach,13,Mdau,63,99,0,2817
176,Batzbach,13,Mema,0,13,0,13
177,Batzbach,13,Mmyo,33,64,0,1735
178,Batzbach,13,Mbra,67,24,0,1403
179,Batzbach,13,Mnat,350,75,0,19494
180,Batzbach,13,Nnoc,0,2,0,2
181,Batzbach,13,Ppip,0,2,0,2
182,Batzbach,13,Paur,12,42,0,2228
183,Batzbach,13,Rhin,0,7,0,7
184,Batzbach,14,Bbar,0,7,0,7
185,Batzbach,14,Eser,0,7,0,7
186,Batzbach,14,Mbec,132,246,0,12161
187,Batzbach,14,Mdas,0,56,0,56
188,Batzbach,14,Mdau,63,99,0,2817
189,Batzbach,14,Mema,0,13,0,13
190,Batzbach,14,Mmyo,33,64,0,1735
191,Batzbach,14,Mbra,67,24,0,1403
192,Batzbach,14,Mnat,350,75,0,19494
193,Batzbach,14,Nnoc,0,2,0,2
194,Batzbach,14,Ppip,0,2,0,2
195,Batzbach,14,Paur,12,42,0,2228
196,Batzbach,14,Rhin,0,7,0,7
197,Batzbach,15,Bbar,0,7,0,7
198,Batzbach,15,Eser,0,7,0,7
199,Batzbach,15,Mbec,131,246,0,12161
200,Batzbach,15,Mdas,0,56,0,56
201,Batzbach,15,Mdau,63,99,0,2817
202,Batzbach,15,Mema,0,13,0,13
203,Batzbach,15,Mmyo,33,63,0,1735
204,Batzbach,15,Mbra,67,24,0,1403
205,Batzbach,15,Mnat,350,75,0,19494
206,Batzbach,15,Nnoc,0,2,0,2
207,Batzbach,15,Ppip,0,2,0,2
208,Batzbach,15,Paur,12,42,0,2228
209,Batzbach,15,Rhin,0,7,0,7
210,Batzbach,16,Bbar,0,7,0,7
211,Batzbach,16,Eser,0,6,0,7
212,Batzbach,16,Mbec,131,246,0,12161
213,Batzbach,16,Mdas,0,56,0,56
214,Batzbach,16,Mdau,63,99,0,2817
215,Batzbach,16,Mema,0,13,0,13
216,Batzbach,16,Mmyo,33,63,0,1735
217,Batzbach,16,Mbra,67,24,0,1403
218,Batzbach,16,Mnat,349,75,0,19494
219,Batzbach,16,Nnoc,0,2,0,2
220,Batzbach,16,Ppip,0,2,0,2
221,Batzbach,16,Paur,12,42,0,2228
222,Batzbach,16,Rhin,0,7,0,7
223,Batzbach,17,Bbar,0,7,0,7
224,Batzbach,17,Eser,0,6,0,7
225,Batzbach,17,Mbec,131,246,0,12161
226,Batzbach,17,Mdas,0,56,0,56
227,Batzbach,17,Mdau,63,99,0,2817
228,Batzbach,17,Mema,0,13,0,13
229,Batzbach,17,Mmyo,33,63,0,1735
230,Batzbach,17,Mbra,67,24,0,1403
231,Batzbach,17,Mnat,349,75,0,19494
232,Batzbach,17,Nnoc,0,2,0,2
233,Batzbach,17,Ppip,0,2,0,2
234,Batzbach,17,Paur,12,42,0,2228
235,Batzbach,17,Rhin,0,7,0,7
236,Batzbach,18,Bbar,0,7,0,7
237,Batzbach,18,Eser,0,6,0,7
238,Batzbach,18,Mbec,131,246,0,12161
239,Batzbach,18,Mdas,0,56,0,56
240,Batzbach,18,Mdau,63,99,0,2817
241,Batzbach,18,Mema,0,13,0,13
242,Batzbach,18,Mmyo,33,63,0,1735
243,Batzbach,18,Mbra,67,24,0,1403
244,Batzbach,18,Mnat,349,75,0,19494
245,Batzbach,18,Nnoc,0,2,0,2
246,Batzbach,18,Ppip,0,2,0,2
247,Batzbach,18,Paur,12,42,0,2228
248,Batzbach,18,Rhin,0,7,0,7
249,Batzbach,19,Bbar,0,7,0,7
250,Batzbach,19,Eser,0,6,0,7
251,Batzbach,19,Mbec,131,246,0,12161
252,Batzbach,19,Mdas,0,56,0,56
253,Batzbach,19,Mdau,63,98,0,2817
