,site,th,species,FN,FP,below_th,total
1,NA,NA,NA,NA,NA,NA,NA
2,Comthurey_r500,0,Bbar,1,13,0,90
3,Comthurey_r500,0,Eser,0,0,0,0
4,Comthurey_r500,0,Mbec,0,0,0,0
5,Comthurey_r500,0,Mdas,0,0,0,0
6,Comthurey_r500,0,Mdau,13,16,0,1085
7,Comthurey_r500,0,Mema,0,0,0,0
8,Comthurey_r500,0,Mmyo,8,10,0,2269
9,Comthurey_r500,0,Mbra,0,0,0,0
10,Comthurey_r500,0,Mnat,28,9,0,3033
11,Comthurey_r500,0,Nnoc,0,0,0,0
12,Comthurey_r500,0,Ppip,0,0,0,0
13,Comthurey_r500,0,Paur,1,0,0,37
14,Comthurey_r500,0,Rhin,0,0,0,0
15,Comthurey_r500,1,Bbar,1,13,0,90
16,Comthurey_r500,1,Eser,0,0,0,0
17,Comthurey_r500,1,Mbec,0,0,0,0
18,Comthurey_r500,1,Mdas,0,0,0,0
19,Comthurey_r500,1,Mdau,13,16,0,1085
20,Comthurey_r500,1,Mema,0,0,0,0
21,Comthurey_r500,1,Mmyo,8,10,0,2269
22,Comthurey_r500,1,Mbra,0,0,0,0
23,Comthurey_r500,1,Mnat,28,9,0,3033
24,Comthurey_r500,1,Nnoc,0,0,0,0
25,Comthurey_r500,1,Ppip,0,0,0,0
26,Comthurey_r500,1,Paur,1,0,0,37
27,Comthurey_r500,1,Rhin,0,0,0,0
28,Comthurey_r500,2,Bbar,1,13,0,90
29,Comthurey_r500,2,Eser,0,0,0,0
30,Comthurey_r500,2,Mbec,0,0,0,0
31,Comthurey_r500,2,Mdas,0,0,0,0
32,Comthurey_r500,2,Mdau,13,16,0,1085
33,Comthurey_r500,2,Mema,0,0,0,0
34,Comthurey_r500,2,Mmyo,8,10,0,2269
35,Comthurey_r500,2,Mbra,0,0,0,0
36,Comthurey_r500,2,Mnat,28,9,0,3033
37,Comthurey_r500,2,Nnoc,0,0,0,0
38,Comthurey_r500,2,Ppip,0,0,0,0
39,Comthurey_r500,2,Paur,1,0,0,37
40,Comthurey_r500,2,Rhin,0,0,0,0
41,Comthurey_r500,3,Bbar,1,13,0,90
42,Comthurey_r500,3,Eser,0,0,0,0
43,Comthurey_r500,3,Mbec,0,0,0,0
44,Comthurey_r500,3,Mdas,0,0,0,0
45,Comthurey_r500,3,Mdau,13,16,0,1085
46,Comthurey_r500,3,Mema,0,0,0,0
47,Comthurey_r500,3,Mmyo,8,10,0,2269
48,Comthurey_r500,3,Mbra,0,0,0,0
49,Comthurey_r500,3,Mnat,28,9,0,3033
50,Comthurey_r500,3,Nnoc,0,0,0,0
51,Comthurey_r500,3,Ppip,0,0,0,0
52,Comthurey_r500,3,Paur,1,0,0,37
53,Comthurey_r500,3,Rhin,0,0,0,0
54,Comthurey_r500,4,Bbar,1,13,0,90
55,Comthurey_r500,4,Eser,0,0,0,0
56,Comthurey_r500,4,Mbec,0,0,0,0
57,Comthurey_r500,4,Mdas,0,0,0,0
58,Comthurey_r500,4,Mdau,13,16,0,1085
59,Comthurey_r500,4,Mema,0,0,0,0
60,Comthurey_r500,4,Mmyo,8,10,0,2269
61,Comthurey_r500,4,Mbra,0,0,0,0
62,Comthurey_r500,4,Mnat,28,9,0,3033
63,Comthurey_r500,4,Nnoc,0,0,0,0
64,Comthurey_r500,4,Ppip,0,0,0,0
65,Comthurey_r500,4,Paur,1,0,0,37
66,Comthurey_r500,4,Rhin,0,0,0,0
67,Comthurey_r500,5,Bbar,1,13,0,90
68,Comthurey_r500,5,Eser,0,0,0,0
69,Comthurey_r500,5,Mbec,0,0,0,0
70,Comthurey_r500,5,Mdas,0,0,0,0
71,Comthurey_r500,5,Mdau,13,16,0,1085
72,Comthurey_r500,5,Mema,0,0,0,0
73,Comthurey_r500,5,Mmyo,8,10,0,2269
74,Comthurey_r500,5,Mbra,0,0,0,0
