,site,th,species,FN,FP,below_th,total
1,NA,NA,NA,NA,NA,NA,NA
2,Eldena,0,Bbar,0,1,0,1
3,Eldena,0,Eser,0,0,0,0
4,Eldena,0,Mbec,0,1,0,1
5,Eldena,0,Mdas,0,3,0,3
6,Eldena,0,Mdau,132,175,0,2365
7,Eldena,0,Mema,0,2,0,2
8,Eldena,0,Mmyo,12,5,0,79
9,Eldena,0,Mbra,24,1,0,46
10,Eldena,0,Mnat,278,143,0,6561
11,Eldena,0,Nnoc,0,0,0,0
12,Eldena,0,Ppip,0,2,0,2
13,Eldena,0,Paur,25,31,0,393
14,Eldena,0,Rhin,0,0,0,0
15,Eldena,1,Bbar,0,1,0,1
16,Eldena,1,Eser,0,0,0,0
17,Eldena,1,Mbec,0,1,0,1
18,Eldena,1,Mdas,0,3,0,3
19,Eldena,1,Mdau,132,175,0,2365
20,Eldena,1,Mema,0,2,0,2
21,Eldena,1,Mmyo,12,5,0,79
22,Eldena,1,Mbra,24,1,0,46
23,Eldena,1,Mnat,278,143,0,6561
24,Eldena,1,Nnoc,0,0,0,0
25,Eldena,1,Ppip,0,2,0,2
26,Eldena,1,Paur,25,31,0,393
27,Eldena,1,Rhin,0,0,0,0
28,Eldena,2,Bbar,0,1,0,1
29,Eldena,2,Eser,0,0,0,0
30,Eldena,2,Mbec,0,1,0,1
31,Eldena,2,Mdas,0,3,0,3
32,Eldena,2,Mdau,132,175,0,2365
33,Eldena,2,Mema,0,2,0,2
34,Eldena,2,Mmyo,12,5,0,79
35,Eldena,2,Mbra,24,1,0,46
36,Eldena,2,Mnat,278,143,0,6561
37,Eldena,2,Nnoc,0,0,0,0
38,Eldena,2,Ppip,0,2,0,2
39,Eldena,2,Paur,25,31,0,393
40,Eldena,2,Rhin,0,0,0,0
41,Eldena,3,Bbar,0,1,0,1
42,Eldena,3,Eser,0,0,0,0
43,Eldena,3,Mbec,0,1,0,1
44,Eldena,3,Mdas,0,3,0,3
45,Eldena,3,Mdau,132,175,0,2365
46,Eldena,3,Mema,0,2,0,2
47,Eldena,3,Mmyo,12,5,0,79
48,Eldena,3,Mbra,24,1,0,46
49,Eldena,3,Mnat,278,143,0,6561
50,Eldena,3,Nnoc,0,0,0,0
51,Eldena,3,Ppip,0,2,0,2
52,Eldena,3,Paur,25,31,0,393
53,Eldena,3,Rhin,0,0,0,0
54,Eldena,4,Bbar,0,1,0,1
55,Eldena,4,Eser,0,0,0,0
56,Eldena,4,Mbec,0,1,0,1
57,Eldena,4,Mdas,0,3,0,3
58,Eldena,4,Mdau,132,175,0,2365
