Filename;Date;Time;Flag;Multiple;Species;Code;Confidence level;
P1120001.JPG;2019.04.06;23:30:32;unsure;;Myotis nattereri;Mnat;52.6;
P1120002.JPG;2019.04.06;23:38:11;;;Myotis myotis_Myotis blythii;;99.6;
P1120003.JPG;2019.04.06;23:39:14;;;Myotis myotis_Myotis blythii;;100.0;
P1120004.JPG;2019.04.06;23:44:53;;;Myotis myotis_Myotis blythii;;100.0;
P1120005.JPG;2019.04.06;23:45:09;;;Myotis myotis_Myotis blythii;;99.6;
P1120006.JPG;2019.04.06;23:45:13;;;Myotis myotis_Myotis blythii;;100.0;
P1120007.JPG;2019.04.06;23:46:11;;;Myotis myotis_Myotis blythii;;100.0;
P1120008.JPG;2019.04.06;23:54:06;;;Myotis nattereri;Mnat;100.0;
P1120009.JPG;2019.04.07;00:02:11;;;Myotis bechsteinii;Mbec;99.9;
P1120010.JPG;2019.04.07;00:03:39;;;Myotis nattereri;Mnat;100.0;
P1120011.JPG;2019.04.07;00:08:03;;;Myotis myotis_Myotis blythii;;100.0;
P1120012.JPG;2019.04.07;00:14:59;;;Myotis daubentonii;Mdau;100.0;
P1120013.JPG;2019.04.07;00:31:34;;;Myotis myotis_Myotis blythii;;100.0;
P1120014.JPG;2019.04.07;00:31:48;;;Myotis myotis_Myotis blythii;;100.0;
P1120015.JPG;2019.04.07;00:41:13;;;Myotis myotis_Myotis blythii;;99.8;
P1120016.JPG;2019.04.07;00:42:02;;;Myotis myotis_Myotis blythii;;100.0;
P1120017.JPG;2019.04.07;00:42:10;;;Myotis myotis_Myotis blythii;;100.0;
P1120018.JPG;2019.04.07;00:51:23;;;Myotis myotis_Myotis blythii;;99.9;
P1120019.JPG;2019.04.07;01:10:10;;;Myotis bechsteinii;Mbec;100.0;
P1120020.JPG;2019.04.07;01:10:19;;;Myotis bechsteinii;Mbec;99.9;
P1120021.JPG;2019.04.07;01:10:41;;;Myotis bechsteinii;Mbec;99.9;
P1120022.JPG;2019.04.07;01:10:51;;;Myotis bechsteinii;Mbec;99.9;
P1120023.JPG;2019.04.07;01:22:52;;;Myotis nattereri;Mnat;99.9;
P1120024.JPG;2019.04.07;01:25:27;;;Myotis daubentonii;Mdau;100.0;
P1120025.JPG;2019.04.07;01:39:43;;;Myotis myotis_Myotis blythii;;100.0;
P1120026.JPG;2019.04.07;01:41:44;;;Myotis myotis_Myotis blythii;;100.0;
P1120027.JPG;2019.04.07;01:42:21;;;Myotis myotis_Myotis blythii;;100.0;
P1120028.JPG;2019.04.07;01:44:09;;;Myotis myotis_Myotis blythii;;99.9;
P1120029.JPG;2019.04.07;01:53:27;;;Myotis nattereri;Mnat;100.0;
P1120030.JPG;2019.04.07;02:17:24;;;Myotis nattereri;Mnat;100.0;
P1120031.JPG;2019.04.07;02:17:44;;;Myotis bechsteinii;Mbec;100.0;
P1120032.JPG;2019.04.07;02:31:28;;;Myotis bechsteinii;Mbec;100.0;
P1120033.JPG;2019.04.07;02:34:39;;;Myotis myotis_Myotis blythii;;100.0;
P1120034.JPG;2019.04.07;03:13:13;;;Myotis nattereri;Mnat;99.9;
P1120035.JPG;2019.04.07;03:13:15;;;Myotis myotis_Myotis blythii;;100.0;
P1120036.JPG;2019.04.07;03:20:13;;;Myotis myotis_Myotis blythii;;100.0;
P1120037.JPG;2019.04.07;03:21:13;;;Myotis myotis_Myotis blythii;;100.0;
P1120038.JPG;2019.04.07;03:21:44;;;Myotis myotis_Myotis blythii;;100.0;
P1120039.JPG;2019.04.07;03:37:11;;;Myotis nattereri;Mnat;100.0;
P1120040.JPG;2019.04.07;03:38:33;;;Myotis daubentonii;Mdau;99.9;
P1120041.JPG;2019.04.07;03:41:41;;;Myotis myotis_Myotis blythii;;100.0;
P1120042.JPG;2019.04.07;03:44:39;;;Myotis myotis_Myotis blythii;;100.0;
P1120043.JPG;2019.04.07;03:53:12;;;Myotis nattereri;Mnat;100.0;
P1120044.JPG;2019.04.07;03:58:26;;;Myotis myotis_Myotis blythii;;99.8;
P1120045.JPG;2019.04.07;04:02:41;;;Myotis nattereri;Mnat;100.0;
P1120046.JPG;2019.04.07;04:30:03;;;Myotis bechsteinii;Mbec;99.9;
P1120047.JPG;2019.04.07;04:30:45;;;Myotis bechsteinii;Mbec;98.2;
P1120048.JPG;2019.04.07;04:30:45;;multiple;Myotis bechsteinii;Mbec;96.8;
P1120048.JPG;2019.04.07;04:30:45;;multiple;Myotis bechsteinii;Mbec;99.9;
P1120049.JPG;2019.04.07;04:31:47;;;Myotis bechsteinii;Mbec;99.6;
P1120050.JPG;2019.04.07;04:33:49;;;Myotis bechsteinii;Mbec;100.0;
P1120051.JPG;2019.04.07;04:55:27;;;Myotis nattereri;Mnat;100.0;
P1120052.JPG;2019.04.07;05:25:05;;;Myotis myotis_Myotis blythii;;100.0;
P1120053.JPG;2019.04.07;05:39:21;;;Myotis daubentonii;Mdau;100.0;
P1120054.JPG;2019.04.07;05:41:27;;;Myotis myotis_Myotis blythii;;100.0;
P1120055.JPG;2019.04.07;06:04:12;;;Myotis myotis_Myotis blythii;;100.0;
P1120056.JPG;2019.04.07;06:26:46;;;Myotis myotis_Myotis blythii;;100.0;
P1120057.JPG;2019.04.07;06:33:07;;;Myotis nattereri;Mnat;99.2;
P1120058.JPG;2019.04.07;06:40:20;;;Myotis nattereri;Mnat;99.9;
P1120059.JPG;2019.04.07;06:46:18;;;Myotis myotis_Myotis blythii;;100.0;
P1120060.JPG;2019.04.07;06:47:42;;;Myotis myotis_Myotis blythii;;100.0;
P1120061.JPG;2019.04.07;06:48:04;;;Myotis myotis_Myotis blythii;;100.0;
P1120062.JPG;2019.04.07;06:54:15;;;Myotis bechsteinii;Mbec;98.4;
P1120063.JPG;2019.04.07;06:56:10;;;Myotis nattereri;Mnat;100.0;
P1120064.JPG;2019.04.07;06:56:13;;;Myotis nattereri;Mnat;99.9;
P1120065.JPG;2019.04.07;07:04:58;;;Myotis myotis_Myotis blythii;;100.0;
P1120066.JPG;2019.04.07;07:08:59;;;Myotis nattereri;Mnat;100.0;
P1120067.JPG;2019.04.07;07:21:42;;;Myotis myotis_Myotis blythii;;100.0;
P1120068.JPG;2019.04.07;07:34:26;;;Myotis daubentonii;Mdau;100.0;
P1120069.JPG;2019.04.07;07:43:45;;;Myotis myotis_Myotis blythii;;100.0;
P1120070.JPG;2019.04.07;08:09:14;;;Myotis myotis_Myotis blythii;;100.0;
P1120071.JPG;2019.04.07;08:12:03;;;Myotis myotis_Myotis blythii;;99.9;
P1120072.JPG;2019.04.07;08:12:43;;;Myotis myotis_Myotis blythii;;100.0;
P1120073.JPG;2019.04.07;08:13:38;;;Myotis myotis_Myotis blythii;;100.0;
P1120074.JPG;2019.04.07;08:20:28;;;Myotis bechsteinii;Mbec;100.0;
P1120075.JPG;2019.04.07;09:00:22;;;Myotis nattereri;Mnat;100.0;
P1120076.JPG;2019.04.07;09:26:30;;;Myotis daubentonii;Mdau;100.0;
