Filename;Date;Time;Flag;Multiple;Species;Code;Confidence level;
P1070782.JPG;2016.03.01;11:45:33;;empty;;;;
P1070783.JPG;2016.03.01;11:45:57;;empty;;;;
P1070784.JPG;2016.03.01;11:45:59;;empty;;;;
P1070785.JPG;2016.03.01;11:58:45;;empty;;;;
P1070786.JPG;2016.03.01;12:17:56;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070787.JPG;2016.03.01;14:30:01;;empty;;;;
P1070788.JPG;2016.03.01;14:33:43;;empty;;;;
P1070789.JPG;2016.03.01;16:20:24;;;Eptesicus serotinus;Eser;99.9;
P1070790.JPG;2016.03.01;17:02:01;;;Barbastella barbastellus;Bbar;100.0;
P1070791.JPG;2016.03.01;19:24:05;;;Barbastella barbastellus;Bbar;95.2;
P1070792.JPG;2016.03.01;19:27:05;;;Barbastella barbastellus;Bbar;94.4;
P1070793.JPG;2016.03.01;21:12:57;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070794.JPG;2016.03.01;21:34:44;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070795.JPG;2016.03.01;22:58:31;;;Barbastella barbastellus;Bbar;77.6;
P1070796.JPG;2016.03.01;23:14:21;;empty;;;;
P1070797.JPG;2016.03.02;05:37:53;;;Barbastella barbastellus;Bbar;98.1;
P1070798.JPG;2016.03.02;06:57:05;;;Barbastella barbastellus;Bbar;96.9;
P1070799.JPG;2016.03.02;08:53:06;;;Myotis mystacinus_Myotis brandtii_Myotis alcathoe;;95.1;
P1070800.JPG;2016.03.02;17:29:35;;;Barbastella barbastellus;Bbar;100.0;
P1070801.JPG;2016.03.02;18:04:20;;empty;;;;
P1070802.JPG;2016.03.02;20:18:46;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070803.JPG;2016.03.02;21:16:21;;;Myotis myotis_Myotis blythii;;100.0;
P1070804.JPG;2016.03.02;21:58:48;;;Barbastella barbastellus;Bbar;97.7;
P1070805.JPG;2016.03.02;22:17:30;;;Barbastella barbastellus;Bbar;99.9;
P1070806.JPG;2016.03.02;23:17:32;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070807.JPG;2016.03.03;00:28:11;;;Barbastella barbastellus;Bbar;95.2;
P1070808.JPG;2016.03.03;02:41:27;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070809.JPG;2016.03.03;05:48:38;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070810.JPG;2016.03.03;07:25:20;;;Barbastella barbastellus;Bbar;83.9;
P1070811.JPG;2016.03.03;10:07:49;;;Barbastella barbastellus;Bbar;99.4;
P1070812.JPG;2016.03.03;10:30:26;;;Barbastella barbastellus;Bbar;90.9;
P1070813.JPG;2016.03.03;10:54:20;;;Barbastella barbastellus;Bbar;99.3;
P1070814.JPG;2016.03.03;11:21:49;;;Barbastella barbastellus;Bbar;99.3;
P1070815.JPG;2016.03.03;11:32:29;;;Barbastella barbastellus;Bbar;97.7;
P1070816.JPG;2016.03.03;15:36:42;;;Myotis myotis_Myotis blythii;;100.0;
P1070817.JPG;2016.03.03;16:01:00;;;Barbastella barbastellus;Bbar;94.7;
P1070818.JPG;2016.03.03;17:21:13;;;Barbastella barbastellus;Bbar;92.8;
P1070819.JPG;2016.03.03;17:58:36;;empty;;;;
P1070820.JPG;2016.03.03;18:42:19;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070821.JPG;2016.03.03;23:05:04;;;Plecotus auritus_Plecotus austriacus;;99.5;
P1070822.JPG;2016.03.04;18:45:36;;;Plecotus auritus_Plecotus austriacus;;99.4;
P1070823.JPG;2016.03.05;00:13:15;;;Barbastella barbastellus;Bbar;99.5;
P1070824.JPG;2016.03.05;01:05:41;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070825.JPG;2016.03.05;01:34:51;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070826.JPG;2016.03.05;09:08:14;;;Barbastella barbastellus;Bbar;99.1;
P1070827.JPG;2016.03.05;09:44:33;;;Barbastella barbastellus;Bbar;87.4;
P1070828.JPG;2016.03.05;11:27:10;;empty;;;;
P1070829.JPG;2016.03.05;11:35:30;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070830.JPG;2016.03.05;13:04:19;;empty;;;;
P1070831.JPG;2016.03.05;13:06:47;;;Barbastella barbastellus;Bbar;98.8;
P1070832.JPG;2016.03.05;13:09:06;;;Barbastella barbastellus;Bbar;100.0;
P1070833.JPG;2016.03.05;13:53:18;;;Barbastella barbastellus;Bbar;99.9;
P1070834.JPG;2016.03.05;14:21:38;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070835.JPG;2016.03.05;14:43:05;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070836.JPG;2016.03.05;14:50:17;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070837.JPG;2016.03.05;14:51:00;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070838.JPG;2016.03.05;15:03:25;;;Barbastella barbastellus;Bbar;99.7;
P1070839.JPG;2016.03.05;15:10:23;;empty;;;;
P1070840.JPG;2016.03.05;15:26:27;;empty;;;;
P1070841.JPG;2016.03.05;15:42:09;;;Barbastella barbastellus;Bbar;95.9;
P1070842.JPG;2016.03.05;15:43:53;;;Barbastella barbastellus;Bbar;70.4;
P1070843.JPG;2016.03.05;15:44:08;;;Barbastella barbastellus;Bbar;99.6;
P1070844.JPG;2016.03.05;15:44:52;;empty;;;;
P1070845.JPG;2016.03.05;15:51:39;;empty;;;;
P1070846.JPG;2016.03.05;15:54:09;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070847.JPG;2016.03.05;15:54:14;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070848.JPG;2016.03.05;16:02:52;;;Barbastella barbastellus;Bbar;99.2;
P1070849.JPG;2016.03.05;16:05:23;;;Barbastella barbastellus;Bbar;100.0;
P1070850.JPG;2016.03.05;16:08:07;unsure;;Myotis mystacinus_Myotis brandtii_Myotis alcathoe;;30.3;
P1070851.JPG;2016.03.05;16:11:12;;empty;;;;
P1070852.JPG;2016.03.05;16:31:09;;;Barbastella barbastellus;Bbar;87.0;
P1070853.JPG;2016.03.05;16:46:16;;;Barbastella barbastellus;Bbar;100.0;
P1070854.JPG;2016.03.05;16:47:02;;multiple;Barbastella barbastellus;Bbar;99.5;
P1070854.JPG;2016.03.05;16:47:02;unsure;multiple;Barbastella barbastellus;Bbar;51.2;
P1070855.JPG;2016.03.05;16:55:37;;;Barbastella barbastellus;Bbar;99.8;
P1070856.JPG;2016.03.05;17:09:26;;empty;;;;
P1070857.JPG;2016.03.05;17:10:14;;;Myotis myotis_Myotis blythii;;78.0;
P1070858.JPG;2016.03.05;17:19:40;;empty;;;;
P1070859.JPG;2016.03.05;17:20:41;;;Barbastella barbastellus;Bbar;92.2;
P1070860.JPG;2016.03.05;17:31:55;;;Barbastella barbastellus;Bbar;99.1;
P1070861.JPG;2016.03.05;17:34:07;;;Barbastella barbastellus;Bbar;99.6;
P1070862.JPG;2016.03.05;17:36:51;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070863.JPG;2016.03.05;17:41:16;;;Barbastella barbastellus;Bbar;99.5;
P1070864.JPG;2016.03.05;17:45:09;;empty;;;;
P1070865.JPG;2016.03.05;17:46:33;;;Barbastella barbastellus;Bbar;97.8;
P1070866.JPG;2016.03.05;17:47:53;;;Barbastella barbastellus;Bbar;94.2;
P1070867.JPG;2016.03.05;17:48:12;;;Barbastella barbastellus;Bbar;95.2;
P1070868.JPG;2016.03.05;17:49:29;;empty;;;;
P1070869.JPG;2016.03.05;18:01:28;;;Barbastella barbastellus;Bbar;90.0;
P1070870.JPG;2016.03.05;18:03:13;;;Barbastella barbastellus;Bbar;98.2;
P1070871.JPG;2016.03.05;18:08:50;;;Barbastella barbastellus;Bbar;100.0;
P1070872.JPG;2016.03.05;18:12:25;;;Barbastella barbastellus;Bbar;98.8;
P1070873.JPG;2016.03.05;18:12:35;;empty;;;;
P1070874.JPG;2016.03.05;18:16:01;;;Barbastella barbastellus;Bbar;99.4;
P1070875.JPG;2016.03.05;18:16:58;;;Barbastella barbastellus;Bbar;97.7;
P1070876.JPG;2016.03.05;18:18:34;;;Barbastella barbastellus;Bbar;100.0;
P1070877.JPG;2016.03.05;18:19:59;;;Barbastella barbastellus;Bbar;99.8;
P1070878.JPG;2016.03.05;18:25:52;;;Barbastella barbastellus;Bbar;93.5;
P1070879.JPG;2016.03.05;18:26:30;;;Barbastella barbastellus;Bbar;99.3;
P1070880.JPG;2016.03.05;18:29:45;;;Barbastella barbastellus;Bbar;75.5;
P1070881.JPG;2016.03.05;18:38:06;;;Myotis myotis_Myotis blythii;;100.0;
P1070882.JPG;2016.03.05;18:38:41;;;Barbastella barbastellus;Bbar;100.0;
P1070883.JPG;2016.03.05;18:58:55;;;Barbastella barbastellus;Bbar;97.0;
P1070884.JPG;2016.03.05;19:00:15;;;Barbastella barbastellus;Bbar;98.8;
P1070885.JPG;2016.03.05;19:23:37;;;Barbastella barbastellus;Bbar;99.9;
P1070886.JPG;2016.03.05;19:29:15;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070887.JPG;2016.03.05;19:29:53;;;Plecotus auritus_Plecotus austriacus;;82.5;
P1070888.JPG;2016.03.05;19:33:07;;;Barbastella barbastellus;Bbar;99.9;
P1070889.JPG;2016.03.05;19:47:06;;;Barbastella barbastellus;Bbar;93.1;
P1070890.JPG;2016.03.05;19:47:15;unsure;;Barbastella barbastellus;Bbar;55.8;
P1070891.JPG;2016.03.05;19:52:33;;;Myotis myotis_Myotis blythii;;99.9;
P1070892.JPG;2016.03.05;20:14:17;;;Barbastella barbastellus;Bbar;95.4;
P1070893.JPG;2016.03.05;20:18:36;;;Barbastella barbastellus;Bbar;98.4;
P1070894.JPG;2016.03.05;20:49:32;;empty;;;;
P1070895.JPG;2016.03.05;21:25:39;;;Myotis nattereri;Mnat;100.0;
P1070896.JPG;2016.03.05;21:36:20;;empty;;;;
P1070897.JPG;2016.03.05;21:41:26;;empty;;;;
P1070898.JPG;2016.03.05;21:43:52;;;Barbastella barbastellus;Bbar;100.0;
P1070899.JPG;2016.03.05;21:56:23;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070900.JPG;2016.03.05;22:02:12;;;Myotis nattereri;Mnat;99.8;
